v4_period_id,administration_id,start_inclusive,end_exclusive,v4_dependencies,v4_unidentified_days,newly_resolved_days,provisionally_filled_days,remaining_historical_unidentified_days,unfilled_primary_days,remaining_dependencies
temer-2016-11-25,temer,2016-11-25,2017-02-03,person-ivani-dos-santos,70,0,70,70,0,person-ivani-dos-santos
temer-2017-08-02,temer,2017-08-02,2017-08-03,person-ivani-dos-santos,1,0,1,1,0,person-ivani-dos-santos
temer-2017-10-20,temer,2017-10-20,2017-10-26,person-ivani-dos-santos,6,0,6,6,0,person-ivani-dos-santos
temer-2018-12-31,temer,2018-12-31,2019-01-01,person-carlos-henrique-menezes-sobral,1,0,1,1,0,person-carlos-henrique-menezes-sobral
bolsonaro-2020-02-14,bolsonaro,2020-02-14,2020-02-18,person-marcos-paulo-cardoso-coelho-da-silva,4,0,4,4,0,person-marcos-paulo-cardoso-coelho-da-silva
bolsonaro-2020-04-24,bolsonaro,2020-04-24,2020-04-28,person-luiz-pontel-de-souza,4,0,4,4,0,person-luiz-pontel-de-souza
bolsonaro-2020-04-24,bolsonaro,2020-04-28,2020-04-29,person-luiz-pontel-de-souza;person-renato-de-lima-franca,1,0,1,1,0,person-luiz-pontel-de-souza;person-renato-de-lima-franca
bolsonaro-2021-03-30,bolsonaro,2021-03-30,2021-03-31,person-jonathas-assuncao-salvador-nery-de-castro;person-otavio-brandelli;person-sergio-jose-pereira,1,0,1,1,0,person-jonathas-assuncao-salvador-nery-de-castro;person-otavio-brandelli;person-sergio-jose-pereira
bolsonaro-2021-03-31,bolsonaro,2021-03-31,2021-04-01,person-sergio-jose-pereira,1,0,1,1,0,person-sergio-jose-pereira
bolsonaro-2022-12-21,bolsonaro,2022-12-21,2022-12-30,person-561613fe4a6e,9,0,9,9,0,person-561613fe4a6e
bolsonaro-2022-12-30,bolsonaro,2022-12-30,2023-01-01,person-561613fe4a6e;person-jonathas-assuncao-salvador-nery-de-castro,2,0,2,2,0,person-561613fe4a6e;person-jonathas-assuncao-salvador-nery-de-castro
