case_id,case_display,focal_order,election_year,case_domain,ideological_universe,k,gap_count,aggregation_level,component,unit_count,positive_count,negative_count,gross_positive,gross_negative_magnitude,gross_absolute,net_component,cancellation_share,absolute_hhi,largest_positive_unit,largest_positive_value,largest_positive_share,largest_negative_unit,largest_negative_value,largest_negative_share,gross_positive_exact,gross_negative_magnitude_exact,gross_absolute_exact,net_component_exact
cabinet/2014/2016.3,Cabinet 2014/2016.3,1,2014,cabinet,not_applicable,,,party,A,7,4,3,17.681947251978418,1.9399249872306041,19.621872239209022,15.742022264747815,0.19773087538040202,0.2098626465774598,PR,5.0428381901786,0.285196993199624,PT,-1.215411226585322,0.6265248577061825,4154313740286122909384693943749808323420922530687933686298978602374665789587604444303519337730041655551956216544427820688658345984002468144989//234946619910389108236030038585052934043844355307324634875560929546801422700722560369035680813762515074457645874458382779860200702570628236900,528703429610260842551634017713220822348838945280389727967115747418026510472341305378653471175491057092244783380022653133253940251035831533145//272538079096051365553794844758661403490859452156496576455650678274289650332838170028081389743964517486370869214371724024637832814981928754804,308047659466714482571306393575057515986008587608202350465088186991511453133292768477576952934466554005329147152739569420051706312930800379109//15699198104611253776140256034485103887722318672609249795832412342989035157421553573046163003684592021104312742763348158101257650632599582650,156809229134562928813399523283499884240476286195819201320895447051775796982795316155461584816935572490790366513578714139824186443362830099234//9961187101463865700065601051120665332268254830281307618993080346282516459533558846055606350291100785320572705203644883941441257857526635775
cabinet/2014/2016.3,Cabinet 2014/2016.3,1,2014,cabinet,not_applicable,,,party,B,7,4,3,6.566984067334776,2.0379141741720974,8.604898241506872,4.529069893162678,0.4736637475483316,0.3055548215706664,PMDB,4.224685645373679,0.6433220489125195,PT,-1.2063121025702577,0.5919346937465225,19105488883108211545449002616320825607048889475732966443772985744952115586885838634919719747134154923158503723993747381774277636478290278127106860551//2909324689569745690315033240663873410415510715892739868489905381988330921786148889012725179751714360013687077593515469299223786786774361570912568050,2964477011071510659644933509290843750068933299666492627660836777248548077129180591527933706964491101897675472612396606257930953268526578369381498167//1454662344784872845157516620331936705207755357946369934244952690994165460893074444506362589875857180006843538796757734649611893393387180785456284025,385145275465403582534444148229269432418257785770245410755302450760757103709910766430393648631740571183905456449516009142925223738697591305628767029//44758841377996087543308203702521129391007857167580613361383159722897398796709982907888079688487913230979801193746391835372673642873451716475577970,231167278262547196950160273644546282577386366252631248920198459481667007589955744769541269003599521392336013662613231039621328595460300375234102881//51040784027539398075702337555506551059921240629697190675261497929619840733090331386188161048275690526555913641991499461389890996259199325805483650
cabinet/2014/2016.3,Cabinet 2014/2016.3,1,2014,cabinet,not_applicable,,,state,A,27,20,7,20.416689269602788,4.674667004854971,25.09135627445776,15.742022264747815,0.37261174355996385,0.0766261595753193,RJ,4.719045361414271,0.23113665977373624,MT,-1.3255823546072767,0.2835672259073354,162119946687237610223620426035802589326107613287998317993514671175412213016531243028751434858104317480703//7940560026478362860920510715012276935547190368079184416747754366987678261526811013962669449544393332550,150522933930297603860965817696275738258781//32199712572888918573373500468194733897354,749819083438089161571338029813906187330551109373685154512736333812141048523032543494872426777695023187446544227022121244650969230995064138427//29883561304391597100196803153361995996804764490843922856979241038847549378600676538166819050873302355961718115610934651824323773572579907325,156809229134562928813399523283499884240476286195819201320895447051775796982795316155461584816935572490790366513578714139824186443362830099234//9961187101463865700065601051120665332268254830281307618993080346282516459533558846055606350291100785320572705203644883941441257857526635775
cabinet/2014/2016.3,Cabinet 2014/2016.3,1,2014,cabinet,not_applicable,,,state,B,27,19,8,23.83268542138838,19.303615528225702,43.13630094961408,4.529069893162678,0.8950056033211351,0.15505334590146486,AC,3.0431133715438876,0.12768654970005516,SP,-15.331280017322854,0.7942180569699749,4162572933165415338796402224554053708126979934848489535546473367572769326203589353179125506358724561777009//174658157885546556164936922676946689211085625368449978591195370051012799930203397259110175009108121964850,499084709738738378634453940630968452851976375726886682564//25854467988599227723051320259196581616745026330563810463,2201710620516194996999918853642430925318094044119731926161951387658430361091046663427531477861012169067983461500658086982307716539409500794523347281//51040784027539398075702337555506551059921240629697190675261497929619840733090331386188161048275690526555913641991499461389890996259199325805483650,231167278262547196950160273644546282577386366252631248920198459481667007589955744769541269003599521392336013662613231039621328595460300375234102881//51040784027539398075702337555506551059921240629697190675261497929619840733090331386188161048275690526555913641991499461389890996259199325805483650
cabinet/2022/2023.1,Cabinet 2022/2023.1,2,2022,cabinet,not_applicable,,,party,A,9,5,4,26.072637520465133,12.87639014257893,38.94902766304406,13.196247377886202,0.6611918661474784,0.16585095738220637,UNIÃO,9.356662317791708,0.358869036952913,PSB,-5.545916698920125,0.43070430745812804,813354164563932560839602977269157498270827206822145098628091063173615666823963808385847976730959187277140283120263919300074960847984141298293181557//31195699473269953350206894051217965337509218556914545415485248435612786805617651706294513590066033628029458569987504629715243377402467815269586300,20486087856611867018497953839046535590564955865816601463180065545132602326257329420433975431452447272112037543236266525804823217915118893841485723001//1590980673136767620860551596612116232212970146402641816189747670216252127086500237021020193093367715029502387069362736115477412247525858578748901300,15491787562343106905329426419943392000594285853436500373303177441746750333569870912028055561182841455811547995592431602527161555290577525013609495602//397745168284191905215137899153029058053242536600660454047436917554063031771625059255255048273341928757375596767340684028869353061881464644687225325,10497487268074346792160899000840248410623615841056399283426289338360898340882412403622135690913235639511058447948596679249499892666036156185733268203//795490336568383810430275798306058116106485073201320908094873835108126063543250118510510096546683857514751193534681368057738706123762929289374450650
cabinet/2022/2023.1,Cabinet 2022/2023.1,2,2022,cabinet,not_applicable,,,party,B,9,5,4,4.225152565097023,5.217061288564064,9.442213853661087,-0.9919087234670415,0.8949495596223503,0.18730991649588685,UNIÃO,1.7469012659661585,0.4134528254427764,PSOL,-2.6596964876850473,0.5098074070004068,183873122226096084784836322996073476309377851924622662889643468515840928414034616539189800711522738453932688596375956426531918437923745589115056672900808527//43518694152023777294791732250083138067540916704296655394202871558296815959248952593825322266295683308830544915908204070718169192190992126953202885594690100,6306658183038405396038524862503446065499525075368330512281195700426558301211423546121440199995086303462577678152129923323888429132477722295966619035996874//1208852615333993813744214784724531612987247686230462649838968654397133776645804238717370062952657869689737358775227890853282477560860892415366746822074725,37355710619588970822020292549654321333396432239807505575615137611927002477967805836323786173758713216235044091804784878744718353335722144706350450745154181//3956244922911252481344702931825739824321901518572423217654806505299710541749904781256847478754153028075504083264382188247106290199181102450291171417699100,-43166572363286509472550572054050582048605050788637235552479576699515170429576631121182046488300368470720107817100720813128065010845452413539741612395078937//43518694152023777294791732250083138067540916704296655394202871558296815959248952593825322266295683308830544915908204070718169192190992126953202885594690100
cabinet/2022/2023.1,Cabinet 2022/2023.1,2,2022,cabinet,not_applicable,,,state,A,27,18,9,20.837375494149683,7.641128116263481,28.478503610413163,13.196247377886202,0.5366242707688829,0.05520908841812508,RJ,2.9208916803521645,0.14017560326501946,DF,-1.7259055725002317,0.22587051888670612,20174983816197792725430015387122355055334764860396961749396056294617224752264425603283105258481936237131//968211367207071593139622309122336907148071019034815960553539603646877732699242421348339621047295308870,465859956726253630139635549254260025863382583368403//60967431724474163745446504183170870375946210771475,22654374422011500230486342920416060144816798861419027413282468821113489643212650503930039731591746218312158523972187556459004955093534898821678147487//795490336568383810430275798306058116106485073201320908094873835108126063543250118510510096546683857514751193534681368057738706123762929289374450650,10497487268074346792160899000840248410623615841056399283426289338360898340882412403622135690913235639511058447948596679249499892666036156185733268203//795490336568383810430275798306058116106485073201320908094873835108126063543250118510510096546683857514751193534681368057738706123762929289374450650
cabinet/2022/2023.1,Cabinet 2022/2023.1,2,2022,cabinet,not_applicable,,,state,B,27,20,7,23.645973623079467,24.637882346546508,48.283855969625975,-0.9919087234670415,0.9794567210189049,0.16982549669570526,RR,3.1517294702711056,0.1332882088303983,SP,-18.347999826686895,0.7447068529921256,7777768656417011228234580299227219785021257349404470031815488691950476552763809167846143953731506466887074364497127891187//328925709737981828368252105740608604692936355129181635011657398631567394366906600144306610541917705238277293373163085820,13232915157105539191223443225759152752306593038947//537096288186488428419697966672827729716481526350,2101250360422520272110121069206605973864817175911982976588323655210411298526705508910431231792585013252573105535466089604143483119388394914728601380197638507//43518694152023777294791732250083138067540916704296655394202871558296815959248952593825322266295683308830544915908204070718169192190992126953202885594690100,-43166572363286509472550572054050582048605050788637235552479576699515170429576631121182046488300368470720107817100720813128065010845452413539741612395078937//43518694152023777294791732250083138067540916704296655394202871558296815959248952593825322266295683308830544915908204070718169192190992126953202885594690100
ideological/2014/08-20,Ideological 2014/PTB-PR,3,2014,ideological,seat_winning,0,0,party,A,13,8,5,19.521091669040846,7.0140183894105705,26.535110058451416,12.507073279630276,0.5286594533778171,0.1394874182569375,PR,5.0428381901786,0.2583276732507847,PT DO B,-3.614965224246245,0.5153914665670034,1583405007541167744359001683724309414422091035152033325602122537644821854639900266201724539127382336106428933994517767118687295019536826993269//81112523540491477843391322844839703419898646475147790611800797105443348313344693460738508852370392109038949170943965483523164528268431177025,1470451614303336015387926870247001179444842584663047023384526045164571465440943159972868367478591082637127144653794433503809815758387124159951//209644676227731819656765265198970310377584193966535828042808214057145884871413976944677992110741936527977591703362864634336794473063022119080,361591396196633022052527529431739058286826061908639655221150779260027216833164550120126166459508652837293325313575623053687103587577350005266007//13626903954802568277689742237933070174542972607824828822782533913714482516641908501404069487198225874318543460718586201231891640749096437740200,15493880576109030913827003299966264087181502354767594743742035762602993302349267211241207153390164735860617864416576972562893412635183987679307//1238809450436597116153612930721188197685724782529529892980230355792225683331082591036733589745293261301685769156235109202899240068099676158200
ideological/2014/08-20,Ideological 2014/PTB-PR,3,2014,ideological,seat_winning,0,0,party,B,13,9,4,7.139814419511411,6.045714701506652,13.185529121018064,1.0940997180047587,0.9170226914700953,0.25837539939221804,PMDB,4.224685645373679,0.591708046896656,PSDB,-5.011331274299147,0.8289063446957352,27696051159507506784428436139830125335294504280699134762349434629724164879184659168005856978668723999435014992654986306855375557630279444855882923311//3879099586092994253753377654218497880554014287856986491319873842651107895714865185350300239668952480018249436791353959065631715715699148761216757400,21106736456625706854694610851878571178891544957243604467593509935709433320136293079597874185401974295750222850327232701768670882812875237208785219859//3491189627483694828378039888796648092498612859071287842187886458385997106143378666815270215702057232016424493112218563159068544144129233885095081660,460331825001824629606802033777256839806565988098728257537080011024611817114024863308031454662038258952417363437167203779385088846801267375790798508389//34911896274836948283780398887966480924986128590712878421878864583859971061433786668152702157020572320164244931122185631590685441441292338850950816600,3472463260846408410264528794516856020794098995805106198655437482765740973754454701461270086727161185219355130056595431273788290049432966510463101019//3173808752257904389434581717087861902271466235519352583807169507623633732857616969832063832456415665469476811920198693780971403767390212622813710600
